자치구별,전체소계_x,소계(주택),소계(주택이외의 거처),소계(단독주택),소계(아파트),소계(비거주용 건물내 주택),1인가구 전체소계,20세미만,20대,30대,40대,50대,60대,70대,80대이상,독거노인 전체소계,소계(국민기초생활보장 수급권자),소계(저소득노인),소계(일반)
종로구,27308,21465,5843,11290,3952,916,27308,328,7799,5220,3310,3540,3410,2293,1408,8573,1839,337,6397
중구,24544,18406,6138,6762,7582,745,24544,268,6024,5268,3093,3149,3295,2130,1317,7553,2168,265,5120
용산구,39270,33407,5863,16778,7368,662,39270,140,9016,10661,5730,4617,4289,2801,2016,11170,2650,345,8175
성동구,44946,39191,5755,19282,13956,1806,44946,534,12628,9370,5784,5543,5542,3520,2025,11231,2985,352,7894
광진구,66140,57695,8445,36204,4694,2674,66140,465,21754,15802,7811,7346,6992,3948,2022,12159,3164,366,8629
동대문구,65290,53204,12086,28851,14708,2349,65290,1198,23388,10962,6730,6823,7832,5414,2943,17040,5271,493,11276
중랑구,60487,55974,4513,31469,11561,1897,60487,169,9805,11218,8079,10452,11210,6424,3130,19260,7074,1366,10820
성북구,64985,59090,5895,29696,14684,2714,64985,1396,22066,10680,6882,6897,7798,5675,3591,18225,4725,698,12802
강북구,48428,45110,3318,23089,7862,999,48428,250,8477,7183,6031,7707,9092,6526,3162,25195,5984,1039,18172
도봉구,37853,34349,3504,12824,12233,594,37853,151,4959,5603,5046,6224,7512,5096,3262,14961,3927,743,10291
노원구,60647,57976,2671,12235,38532,1016,60647,644,11363,8519,7034,8173,11059,8558,5297,23770,8770,830,14170
은평구,62447,53712,8735,19250,11401,1184,62447,190,11889,12663,8522,8437,9932,7023,3791,20800,6273,695,13832
서대문구,52792,46401,6391,22303,11148,1693,52792,857,18945,9683,5484,5297,5556,4212,2758,13620,3478,801,9341
마포구,67162,53878,13284,20911,15028,1644,67162,485,21509,18148,8851,5938,5470,4214,2547,13329,3059,554,9716
양천구,42973,39310,3663,12857,12536,616,42973,131,5936,8253,5841,6465,8164,5271,2912,15131,4680,558,9893
강서구,94436,66774,27662,16884,27611,937,94436,252,22414,24784,12015,10239,12632,7713,4387,22863,8818,698,13347
구로구,54980,40514,14466,15397,14864,892,54980,184,11362,12354,7405,7440,7993,5362,2880,15983,3770,576,11637
금천구,46827,33188,13639,15677,7705,1065,46827,116,11425,10704,5664,6826,6537,3704,1851,10731,3535,504,6692
영등포구,69806,45546,24260,20656,15215,2154,69806,165,18921,19525,8560,7673,7498,4775,2689,15208,3455,427,11326
동작구,68231,62899,5332,35302,12784,2450,68231,943,24057,15703,7256,5963,6661,4908,2740,14691,3741,421,10529
관악구,136255,112627,23628,71544,13690,11112,136255,734,54624,35112,14001,10973,10552,6878,3381,20308,6325,573,13410
서초구,45933,38015,7918,12340,13173,1405,45933,297,9548,13198,7523,5280,4984,3314,1789,10318,1899,447,7972
강남구,71986,59356,12630,19034,22761,2126,71986,397,14786,21638,12196,7645,7316,5198,2810,15432,3970,324,11138
송파구,79262,63425,15837,16972,16877,2136,79262,243,16278,22213,12101,9253,10000,6110,3064,18741,4186,383,14172
강동구,56905,48993,7912,19644,15140,1622,56905,150,10931,12195,7984,8013,9581,5396,2655,16059,4437,676,10946
