자치구별,전체소계,전체소계(남자),전체소계(여자),소계(국민기초생활보장 수급권자),소계(국민기초생활보장 수급권자남자),소계(국민기초생활보장 수급권자여자),소계(저소득노인),소계(저소득노인남자),소계(저소득노인여자),소계(일반),소계(일반남자),소계(일반여자)
소계,392351,128434,263917,110183,40024,70159,14471,3759,10712,267697,84651,183046
종로구,8573,3385,5188,1839,975,864,337,122,215,6397,2288,4109
중구,7553,3028,4525,2168,1028,1140,265,67,198,5120,1933,3187
용산구,11170,3873,7297,2650,1153,1497,345,118,227,8175,2602,5573
성동구,11231,3644,7587,2985,1129,1856,352,78,274,7894,2437,5457
광진구,12159,3982,8177,3164,1152,2012,366,80,286,8629,2750,5879
동대문구,17040,6118,10922,5271,2323,2948,493,132,361,11276,3663,7613
중랑구,19260,6736,12524,7074,2551,4523,1366,376,990,10820,3809,7011
성북구,18225,5551,12674,4725,1627,3098,698,163,535,12802,3761,9041
강북구,25195,8311,16884,5984,2111,3873,1039,237,802,18172,5963,12209
도봉구,14961,4807,10154,3927,1430,2497,743,193,550,10291,3184,7107
노원구,23770,6787,16983,8770,2709,6061,830,184,646,14170,3894,10276
은평구,20800,6516,14284,6273,2085,4188,695,152,543,13832,4279,9553
서대문구,13620,4106,9514,3478,1145,2333,801,271,530,9341,2690,6651
마포구,13329,3978,9351,3059,1003,2056,554,150,404,9716,2825,6891
양천구,15131,4718,10413,4680,1570,3110,558,129,429,9893,3019,6874
강서구,22863,7570,15293,8818,3150,5668,698,228,470,13347,4192,9155
구로구,15983,5379,10604,3770,1430,2340,576,142,434,11637,3807,7830
금천구,10731,3815,6916,3535,1329,2206,504,147,357,6692,2339,4353
영등포구,15208,5469,9739,3455,1541,1914,427,105,322,11326,3823,7503
동작구,14691,4281,10410,3741,1195,2546,421,84,337,10529,3002,7527
관악구,20308,6902,13406,6325,2311,4014,573,141,432,13410,4450,8960
서초구,10318,3200,7118,1899,615,1284,447,107,340,7972,2478,5494
강남구,15432,4742,10690,3970,1338,2632,324,77,247,11138,3327,7811
송파구,18741,6124,12617,4186,1504,2682,383,108,275,14172,4512,9660
강동구,16059,5412,10647,4437,1620,2817,676,168,508,10946,3624,7322
